timestamp,memory_used_MiB,memory_total_MiB,util_gpu_pct
22:14:24.665,3502, 4096, 97
22:14:24.931,3502, 4096, 97
22:14:25.197,3502, 4096, 97
22:14:25.457,3502, 4096, 97
22:14:25.723,3502, 4096, 98
22:14:25.986,3502, 4096, 98
22:14:26.250,3502, 4096, 98
22:14:26.513,3502, 4096, 98
22:14:26.787,3502, 4096, 98
22:14:27.047,3502, 4096, 98
22:14:27.311,3502, 4096, 98
22:14:27.577,3502, 4096, 92
22:14:27.844,3502, 4096, 92
22:14:28.110,3502, 4096, 92
22:14:28.375,3502, 4096, 92
22:14:28.639,3502, 4096, 100
22:14:28.904,3502, 4096, 100
22:14:29.168,3502, 4096, 100
22:14:29.435,3502, 4096, 100
22:14:29.696,3502, 4096, 100
22:14:29.964,3502, 4096, 100
22:14:30.229,3502, 4096, 100
22:14:30.495,3498, 4096, 100
22:14:30.762,3490, 4096, 100
22:14:31.025,3480, 4096, 100
22:14:31.289,3480, 4096, 100
22:14:31.554,3480, 4096, 99
22:14:31.820,3480, 4096, 99
22:14:32.089,3480, 4096, 99
22:14:32.352,3480, 4096, 99
22:14:32.619,3480, 4096, 97
22:14:32.879,3480, 4096, 97
22:14:33.142,3480, 4096, 97
22:14:33.414,3480, 4096, 97
22:14:33.673,3480, 4096, 98
22:14:33.937,3480, 4096, 98
22:14:34.203,3480, 4096, 98
22:14:34.470,3480, 4096, 98
22:14:34.739,3480, 4096, 98
22:14:35.004,3480, 4096, 98
22:14:35.266,3480, 4096, 98
22:14:35.532,3480, 4096, 98
22:14:35.780,3480, 4096, 96
22:14:36.046,3480, 4096, 96
22:14:36.312,3480, 4096, 96
22:14:36.576,3480, 4096, 99
22:14:36.841,3480, 4096, 99
22:14:37.109,3480, 4096, 99
22:14:37.373,3480, 4096, 99
22:14:37.637,3480, 4096, 100
22:14:37.901,3480, 4096, 100
22:14:38.168,3480, 4096, 100
22:14:38.429,3480, 4096, 100
22:14:38.698,3480, 4096, 100
22:14:38.963,3480, 4096, 100
22:14:39.231,3480, 4096, 100
22:14:39.499,3480, 4096, 100
22:14:39.759,3480, 4096, 100
22:14:40.037,3480, 4096, 100
22:14:40.300,3480, 4096, 100
22:14:40.563,3480, 4096, 97
22:14:40.830,3480, 4096, 97
22:14:41.097,3480, 4096, 97
22:14:41.361,3480, 4096, 97
22:14:41.623,3480, 4096, 97
22:14:41.890,3480, 4096, 97
22:14:42.152,3480, 4096, 97
22:14:42.419,3480, 4096, 97
22:14:42.680,3480, 4096, 97
22:14:42.950,3480, 4096, 97
22:14:43.214,3480, 4096, 97
22:14:43.477,3480, 4096, 97
22:14:43.745,3480, 4096, 98
22:14:44.008,3480, 4096, 98
22:14:44.278,3480, 4096, 98
22:14:44.540,3480, 4096, 98
22:14:44.806,3480, 4096, 97
22:14:45.069,3480, 4096, 97
22:14:45.336,3480, 4096, 97
22:14:45.601,3480, 4096, 100
22:14:45.864,3480, 4096, 100
22:14:46.129,3480, 4096, 100
22:14:46.394,3480, 4096, 100
22:14:46.663,3480, 4096, 100
22:14:46.928,3480, 4096, 100
22:14:47.194,3480, 4096, 100
22:14:47.459,3491, 4096, 100
22:14:47.724,3491, 4096, 100
22:14:47.990,3491, 4096, 100
22:14:48.257,3491, 4096, 100
22:14:48.518,3491, 4096, 100
22:14:48.783,3491, 4096, 100
22:14:49.148,3491, 4096, 100
22:14:49.544,3491, 4096, 100
22:14:49.985,3491, 4096, 96
22:14:50.293,3491, 4096, 96
22:14:50.559,3491, 4096, 96
22:14:50.832,3491, 4096, 92
22:14:51.099,3491, 4096, 92
22:14:51.364,3491, 4096, 92
22:14:51.625,3491, 4096, 97
22:14:51.891,3491, 4096, 97
22:14:52.155,3491, 4096, 97
22:14:52.418,3491, 4096, 97
22:14:52.684,3491, 4096, 98
22:14:52.949,3491, 4096, 98
22:14:53.214,3491, 4096, 98
22:14:53.504,3491, 4096, 98
22:14:53.772,3491, 4096, 96
22:14:54.038,3491, 4096, 96
22:14:54.301,3491, 4096, 96
22:14:54.567,3491, 4096, 96
22:14:54.816,3491, 4096, 100
22:14:55.080,3491, 4096, 100
22:14:55.344,3491, 4096, 100
22:14:55.609,3491, 4096, 100
22:14:55.890,3491, 4096, 100
22:14:56.154,3491, 4096, 100
22:14:56.417,3491, 4096, 100
